insert into lottery.match values('1600101','英超','阿森纳','纽卡','1:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.30','5.50','9.00','1600101');
insert into lottery.europe_data values('williamHill','lastData','1.29','5.00','12.00','1600101');
insert into lottery.europe_data values('Interwetten','firstData','1.35','4.80','7.60','1600101');
insert into lottery.europe_data values('Interwetten','lastData','1.27','5.20','10.00','1600101');
insert into lottery.match values('1600102','英超','莱切城','伯恩茅','0:0','1');
insert into lottery.europe_data values('williamHill','firstData','1.95','3.60','3.75','1600102');
insert into lottery.europe_data values('williamHill','lastData','1.95','3.40','4.00','1600102');
insert into lottery.europe_data values('Interwetten','firstData','1.90','3.45','3.80','1600102');
insert into lottery.europe_data values('Interwetten','lastData','1.90','3.45','3.80','1600102');
insert into lottery.match values('1600103','英超','曼联','斯旺西','2:1','3');
insert into lottery.europe_data values('williamHill','firstData','1.57','4.00','6.00','1600103');
insert into lottery.europe_data values('williamHill','lastData','1.50','3.60','9.00','1600103');
insert into lottery.europe_data values('Interwetten','firstData','1.60','3.70','5.40','1600103');
insert into lottery.europe_data values('Interwetten','lastData','1.50','4.00','6.10','1600103');
insert into lottery.match values('1600104','英超','诺维奇','南安普','1:0','3');
insert into lottery.europe_data values('williamHill','firstData','3.30','3.30','2.20','1600104');
insert into lottery.europe_data values('williamHill','lastData','2.90','3.20','2.50','1600104');
insert into lottery.europe_data values('Interwetten','firstData','2.90','3.30','2.30','1600104');
insert into lottery.europe_data values('Interwetten','lastData','2.90','3.30','2.30','1600104');
insert into lottery.match values('1600105','英超','桑德兰','维拉','3:1','3');
insert into lottery.europe_data values('williamHill','firstData','2.40','3.10','3.10','1600105');
insert into lottery.europe_data values('williamHill','lastData','2.50','3.10','3.00','1600105');
insert into lottery.europe_data values('Interwetten','firstData','2.30','3.30','2.90','1600105');
insert into lottery.europe_data values('Interwetten','lastData','2.40','3.20','2.85','1600105');
insert into lottery.match values('1600106','英超','西布罗','斯托克','2:1','3');
insert into lottery.europe_data values('williamHill','firstData','2.70','2.90','2.90','1600106');
insert into lottery.europe_data values('williamHill','lastData','2.80','3.00','2.70','1600106');
insert into lottery.europe_data values('Interwetten','firstData','2.55','3.10','2.75','1600106');
insert into lottery.europe_data values('Interwetten','lastData','2.55','3.10','2.75','1600106');
insert into lottery.match values('1600107','英超','沃特福','曼城','1:2','0');
insert into lottery.europe_data values('williamHill','firstData','4.80','3.80','1.70','1600107');
insert into lottery.europe_data values('williamHill','lastData','5.00','3.60','1.73','1600107');
insert into lottery.europe_data values('Interwetten','firstData','4.70','3.60','1.70','1600107');
insert into lottery.europe_data values('Interwetten','lastData','4.50','3.50','1.75','1600107');
insert into lottery.match values('1600108','西甲','西牙人','巴萨','0:0','1');
insert into lottery.europe_data values('williamHill','firstData','13.00','6.50','1.20','1600108');
insert into lottery.europe_data values('williamHill','lastData','13.00','6.50','1.20','1600108');
insert into lottery.europe_data values('Interwetten','firstData','10.30','5.50','1.25','1600108');
insert into lottery.europe_data values('Interwetten','lastData','12.00','5.50','1.22','1600108');
insert into lottery.match values('1600109','西甲','马竞技','莱万特','1:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.18','6.50','17.00','1600109');
insert into lottery.europe_data values('williamHill','lastData','1.20','6.00','17.00','1600109');
insert into lottery.europe_data values('Interwetten','firstData','1.20','5.80','13.00','1600109');
insert into lottery.europe_data values('Interwetten','lastData','1.20','5.80','13.00','1600109');
insert into lottery.match values('1600110','西甲','马拉加','塞尔塔','2:0','3');
insert into lottery.europe_data values('williamHill','firstData','2.38','3.20','3.10','1600110');
insert into lottery.europe_data values('williamHill','lastData','2.15','3.25','3.50','1600110');
insert into lottery.europe_data values('Interwetten','firstData','2.60','3.20','2.60','1600110');
insert into lottery.europe_data values('Interwetten','lastData','2.40','3.30','2.75','1600110');
insert into lottery.match values('1600201','英超','水晶宫','切尔西','0:3','0');
insert into lottery.europe_data values('williamHill','firstData','3.30','3.30','2.20','1600201');
insert into lottery.europe_data values('williamHill','lastData','3.80','3.25','2.05','1600201');
insert into lottery.europe_data values('Interwetten','firstData','3.10','3.30','2.20','1600201');
insert into lottery.europe_data values('Interwetten','lastData','3.10','3.30','2.20','1600201');
insert into lottery.match values('1600202','英超','埃弗顿','热刺','1:1','1');
insert into lottery.europe_data values('williamHill','firstData','2.50','3.50','2.70','1600202');
insert into lottery.europe_data values('williamHill','lastData','2.62','3.20','2.80','1600202');
insert into lottery.europe_data values('Interwetten','firstData','2.60','3.20','2.60','1600202');
